Anomaly Score,Ground Truth,Decision
1784.5074,0,1
1772.6688,0,1
1793.9694,0,1
1833.5387,0,1
1857.5752,0,1
1867.2324,0,1
1886.0006,0,1
1894.1008,0,1
1893.012,0,1
1891.2571,0,1
1896.2324,0,1
1888.8899,0,1
1876.0201,0,1
1860.1885,0,1
1843.0409,0,1
1839.7926,0,1
1837.1083,0,1
1847.9469,0,1
1863.643,0,1
1882.9613,0,1
1891.9208,0,1
1904.2543,0,1
1911.4506,0,1
1913.8877,0,1
1913.9023,0,1
1906.1285,0,1
1900.3883,0,1
1896.0344,0,1
1892.2938,0,1
1886.5328,0,1
1884.9052,0,1
1883.5713,0,1
1883.4254,0,1
1890.0741,0,1
1892.5963,0,1
1890.2743,0,1
1883.7438,0,1
1883.1791,0,1
1880.9094,0,1
1884.1172,0,1
1889.3567,0,1
1893.4362,0,1
1880.9739,0,1
1867.9706,0,1
1859.9176,0,1
1844.9957,0,1
1827.9016,0,1
1823.6351,0,1
1822.7875,0,1
1822.9261,0,1
1834.927,0,1
1855.6328,0,1
1874.1932,0,1
1885.4316,0,1
1889.7155,0,1
1891.9801,0,1
1888.0668,0,1
1887.1162,0,1
1886.8977,0,1
1893.7568,0,1
1895.2233,0,1
1897.2766,0,1
1897.846,0,1
1892.5853,0,1
1881.7512,0,1
1878.5614,0,1
1880.055,0,1
1878.4662,0,1
1885.5077,0,1
1888.768,0,1
1890.1315,0,1
1891.975,0,1
1896.7489,0,1
1896.6498,0,1
1901.984,0,1
1906.733,0,1
1902.0804,0,1
1868.5137,0,1
1839.0928,0,1
1828.2997,0,1
1821.9169,0,1
1817.691,0,1
1844.0344,0,1
1872.3606,0,1
1888.9531,0,1
1897.1641,0,1
1909.1799,0,1
1901.3981,0,1
1878.8528,0,1
1857.6127,0,1
1843.6985,0,1
1836.1156,0,1
1835.6415,0,1
1826.5602,0,1
1804.8811,0,1
1773.57,0,1
1718.8115,0,1
1656.7275,0,1
1599.4373,0,1
1558.3086,0,1
1553.8129,0,1
1600.9664,0,1
1663.1678,0,1
1737.3799,0,1
1808.1754,0,1
1854.7001,0,1
1866.6442,0,1
1868.6581,0,1
1874.9364,0,1
1868.9769,0,1
1852.7914,0,1
1834.5576,0,1
1826.3082,0,1
1815.0458,0,1
1823.7803,0,1
1839.0707,0,1
1862.9824,0,1
1877.2926,0,1
1892.5465,0,1
1899.8262,0,1
1902.2725,0,1
1894.4274,0,1
1891.4296,0,1
1896.6057,0,1
1887.2225,0,1
1885.5221,0,1
1884.944,0,1
1885.54,0,1
1879.4736,0,1
1885.1991,0,1
1885.1227,0,1
1884.4032,0,1
1880.316,0,1
1877.5546,0,1
1870.8254,0,1
1869.5428,0,1
1869.9296,0,1
1878.1688,0,1
1886.9852,0,1
1897.182,0,1
1897.5446,0,1
1898.1923,0,1
1900.638,0,1
